,,,,,,,,,,,,,
Flight Day,900 mb,,,600 mb,,,400mb,,,,,,
,Slope,Intercept,Mean ABS Err,Slope,Intercept,Mean ABS Err,Slope,Intercept,Mean ABS Err,,,,
710,-0.00039268,0.044047944,0.033269313,-0.000589249,0.0495785,0.029159638,-0.00041945,0.019988467,0.03592338,,,,
725,-8.63E-05,0.016835287,0.029884079,-0.00029881,0.022879503,0.023722482,-0.000141434,-0.003833654,0.034704002,,,,
727,-0.000284657,0.042220881,0.055713531,-0.000696154,0.065744084,0.046722153,-0.000668099,0.050033486,0.041796797,,,,
728,-0.000240629,0.044004595,0.070385138,-0.000321616,0.040971854,0.059068608,-0.000106835,0.009499014,0.050986244,,,,
729,-9.03E-06,0.026795554,0.085980649,-0.00020515,0.032966064,0.074753647,8.58E-05,-0.004850786,0.064526506,,,,
803,6.65E-05,0.025290681,0.074516185,-7.58E-05,0.02638236,0.063194401,0.000120185,-0.003806349,0.049690344,,,,
807,-3.61E-05,0.02768066,0.08972628,-0.000218817,0.032379355,0.078658871,-0.000715568,0.059701622,0.068308581,,,,
807,-3.61E-05,0.02768066,0.08972628,-0.000218817,0.032379355,0.078658871,-0.000715568,0.059701622,0.068308581,,,,
814,0.000178373,0.011591117,0.108385501,3.42E-05,0.012497185,0.097466972,8.81E-05,-0.005354268,0.085431454,,,,
815,-0.000232746,0.048105508,0.117139285,-0.000501967,0.059476064,0.105964015,-0.000437489,0.040710241,0.093379754,,,,
Mean,-0.000107329,0.031425289,0.075472624,-0.000309219,0.037525432,0.065736966,-0.000291038,0.02217894,0.059305564,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Flight Day,900 mb,,,600 mb,,,400mb,,,,,,
,Slope,Intercept,Mean ABS Err,Slope,Intercept,Mean ABS Err,Slope,Intercept,Mean ABS Err,,,,
710,-0.000568831,0.080158772,0.033269313,-0.000764679,0.085611294,0.029159638,-0.000597019,0.05615517,0.03592338,,,,
725,0.002040202,-0.135226151,0.029884079,0.001830759,-0.129456041,0.023722482,0.001983754,-0.155850363,0.034704002,,,,
727,0.000639976,0.005657524,0.055713531,0.000401643,0.014038496,0.046722153,0.000684391,-0.022636219,0.041796797,,,,
728,0.003587005,-0.218779911,0.070385138,0.003369366,-0.212552101,0.059068608,0.003573811,-0.243357035,0.050986244,,,,
729,0.003533524,-0.195675583,0.085980649,0.003289841,-0.187478942,0.074753647,0.003566391,-0.224252651,0.064526506,,,,
803,-0.005377537,0.504984348,0.074516185,-0.005598207,0.511327091,0.063194401,-0.005404681,0.481275304,0.049690344,,,,
807,0.000370444,0.060282346,0.08972628,0.000127476,0.068526017,0.078658871,0.00037092,0.034407695,0.068308581,,,,
807,0.000370444,0.060282346,0.08972628,0.000127476,0.068526017,0.078658871,0.00037092,0.034407695,0.068308581,,,,
814,0.003154068,-0.147913048,0.108385501,0.002988519,-0.145379112,0.097466972,0.003036896,-0.162915358,0.085431454,,,,
815,-0.000773365,0.180484062,0.117139285,-0.000944334,0.183312471,0.105964015,-0.000880317,0.164295218,0.093379754,,,,
Mean,0.000697593,0.01942547,0.075472624,0.000482786,0.025647519,0.065736966,0.000670507,-0.003847054,0.059305564,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Flight Day,900 mb,,,,Flight Day,600 mb,,,,Flight Day,400mb,,
,Slope,Intercept,Mean ABS Err,,,Slope,Intercept,Mean ABS Err,,,Slope,Intercept,Mean ABS Err
710,-0.000568831,0.080158772,0.013775431,,710,-0.000764679,0.085611294,0.008955296,,710,-0.000597019,0.05615517,0.016520486
725,0.002040202,-0.135226151,0.00998197,,725,0.001830759,-0.129456041,0.004250789,,725,0.001983754,-0.155850363,0.01648142
727,0.000639976,0.005657524,0.021448555,,727,0.000401643,0.014038496,0.013181096,,727,0.000684391,-0.022636219,0.010339677
728,0.003587005,-0.218779911,0.028499303,,728,0.003369366,-0.212552101,0.017277914,,728,0.003573811,-0.243357035,0.010925153
729,0.003533524,-0.195675583,0.032352048,,729,0.003289841,-0.187478942,0.021189711,,729,0.003566391,-0.224252651,0.011159944
803,-0.005377537,0.504984348,0.034886943,,803,-0.005598207,0.511327091,0.023597215,,803,-0.005404681,0.481275304,0.010701587
807,0.000370444,0.060282346,0.029984583,,807,0.000127476,0.068526017,0.018917617,,807,0.00037092,0.034407695,0.009921409
814,0.003154068,-0.147913048,0.029151169,,814,0.002988519,-0.145379112,0.01828326,,814,0.003036896,-0.162915358,0.007043561
815,-0.000773365,0.180484062,0.033180666,,815,-0.000944334,0.183312471,0.022101813,,815,-0.000880317,0.164295218,0.010186531
Mean,0.000733943,0.014885818,0.025917852,,Mean,0.000522265,0.020883241,0.01641719,,Mean,0.000703794,-0.008097582,0.01147553